viaje_id,inicio_viaje,estacion_origen,localidad_origen,estacion_destino,localidad_destino,duracion_min,distancia_km,tipo_bicicleta,tipo_usuario,clima,temperatura_c,precipitacion_mm,fin_de_semana
V000671,2026-04-22 08:35:33,Plaza de Bolívar,La Candelaria,Universidades Centro,La Candelaria,13.8,4.14,Eléctrica,Suscriptor,Nublado,17.2,0.0,No
V002336,2026-03-26 20:39:41,Plaza de Bolívar,La Candelaria,Universidades Centro,La Candelaria,10.8,2.47,Eléctrica,Ocasional,Lluvia ligera,15.2,0.9,No
V002504,2026-03-09 11:25:42,Parque de los Novios,Barrios Unidos,Hacienda Santa Bárbara,Usaquén,6.6,0.83,Eléctrica,Suscriptor,Nublado,17.1,0.0,No
V002587,2026-04-29 04:04:46,Parque de la 93,Chapinero,Parque de la 93,Chapinero,7.6,1.68,Mecánica,Suscriptor,Nublado,21.0,0.0,No
V000820,2026-05-26 03:55:26,Zona G,Chapinero,Parque Nacional,Santa Fe,16.6,2.89,Mecánica,Suscriptor,Lluvia,18.7,7.8,No
V001962,2026-04-10 08:19:28,Calle 72,Chapinero,Calle 72,Chapinero,10.5,1.49,Mecánica,Suscriptor,Despejado,,0.0,No
V000833,2026-04-13 19:29:31,Centro Internacional,Santa Fe,Las Nieves,Santa Fe,19.2,2.7,Eléctrica,Suscriptor,Nublado,15.8,0.0,No
V003175,2026-05-12 18:27:06,Chorro de Quevedo,La Candelaria,Universidades Centro,La Candelaria,7.6,1.71,Mecánica,Suscriptor,Despejado,18.5,0.0,No
V002592,2026-02-16 09:58:57,Zona G,Chapinero,Parque de la 93,Chapinero,9.2,2.6,Eléctrica,Suscriptor,Lluvia,18.1,8.2,No
V001902,2026-05-02 08:49:08,Parque de los Novios,Barrios Unidos,San Felipe,Barrios Unidos,9.6,2.09,Eléctrica,Suscriptor,Despejado,20.0,0.0,Sí
V001245,2026-03-03 07:34:14,Parque de los Novios,Barrios Unidos,San Felipe,Barrios Unidos,28.5,7.7,Eléctrica,Suscriptor,Lluvia,13.3,9.8,No
V001388,2026-04-14 17:23:54,Zona G,Chapinero,Universidades Centro,La Candelaria,12.0,2.43,Mecánica,Suscriptor,Nublado,22.3,0.0,No
V001529,2026-03-31 07:56:02,Parque de los Hippies,Chapinero,Parque de la 93,Chapinero,7.1,2.06,Eléctrica,Suscriptor,Despejado,15.5,0.0,No
V003025,2026-04-09 19:44:43,Las Aguas,La Candelaria,Las Aguas,La Candelaria,4.2,0.92,Mecánica,Suscriptor,Nublado,17.1,0.0,No
V000834,2026-02-01 11:31:31,Hacienda Santa Bárbara,Usaquén,Parque de la 93,Chapinero,18.3,3.99,Eléctrica,Suscriptor,Nublado,16.1,0.0,Sí
V002635,2026-03-01 14:46:54,Las Nieves,Santa Fe,Centro Internacional,Santa Fe,10.2,1.26,Mecánica,Ocasional,Nublado,16.9,0.0,Sí
V000965,2026-04-10 17:36:36,Parque de los Hippies,Chapinero,Calle 63,Chapinero,25.4,7.15,Eléctrica,Suscriptor,Lluvia,16.9,9.2,No
V000035,2026-02-23 05:50:59,Parque de la 93,Chapinero,Parque de los Hippies,Chapinero,16.9,3.85,Eléctrica,Ocasional,Despejado,13.9,0.0,No
V000122,2026-02-25 04:47:45,Calle 72,Chapinero,Chorro de Quevedo,La Candelaria,16.6,3.5,Mecánica,Suscriptor,Nublado,13.5,0.0,No
V001426,2026-05-26 19:38:29,Las Aguas,La Candelaria,Las Aguas,La Candelaria,3.6,0.76,Mecánica,Suscriptor,Despejado,19.0,0.0,No
V000880,2026-05-11 18:58:13,Hacienda Santa Bárbara,Usaquén,Parque de los Hippies,Chapinero,12.4,2.64,Mecánica,Suscriptor,Despejado,18.7,0.0,No
V000306,2026-04-07 18:31:38,Universidad Javeriana,Chapinero,Calle 72,Chapinero,22.4,5.15,Eléctrica,Suscriptor,Despejado,17.7,0.0,No
V001236,2026-03-21 21:58:34,Parque de los Novios,Barrios Unidos,Zona G,Chapinero,16.4,2.73,Eléctrica,Suscriptor,Nublado,15.9,0.0,Sí
V001800,2026-05-29 10:02:24,Parque de los Novios,Barrios Unidos,Parque de los Novios,Barrios Unidos,9.8,1.59,Mecánica,Suscriptor,Nublado,16.4,0.0,No
V000182,2026-02-14 08:32:41,Corferias,Teusaquillo,Hacienda Santa Bárbara,Usaquén,9.3,1.68,Eléctrica,Suscriptor,Nublado,13.4,0.0,Sí
V000413,2026-04-29 07:54:39,Calle 63,Chapinero,Parque El Virrey Norte,Usaquén,10.2,2.17,Eléctrica,Suscriptor,Despejado,18.8,0.0,No
V000747,2026-05-06 00:40:53,San Felipe,Barrios Unidos,Calle 80,Barrios Unidos,12.4,2.98,Mecánica,Suscriptor,Despejado,15.3,0.0,No
